True Values,Predictions
0.0102427599005932,-0.002748851
-0.00383362018627,-0.0040330263
-0.025751768899587,-0.0051961783
-0.025179063620557,-0.0042264992
-0.0220671503527176,-0.0027243716
-0.0220949177177353,-0.0030381593
-0.0124410942430546,-0.00379207
0.0126481428058488,-0.003988415
0.014919874197178,-0.0028464983
0.0289851036717308,-0.0004903452
0.0250615796287719,0.002492966
0.017580940960632,0.002630621
0.0171264105746752,0.00030534327
0.0034649662001501,-0.001540626
-0.02236443666326,-0.0024516417
-0.0282745023113334,-0.001358746
-0.0286276230059084,-0.00071031065
-0.0569415499264296,-0.002160194
-0.0471974570617871,-0.0022279245
-0.0339297520676688,-0.00036523552
-0.0232213482188419,-0.0006343882
-0.015387588856127,-0.0009046361
-0.0018827965081858,-0.00031912248
-0.0108965620506119,0.001032832
-0.0111595335503405,0.0008362074
-0.0019548066736323,0.0008391681
-0.0019548066736323,0.0012841149
0.0084740057585529,7.085022e-05
-0.0007701878454065,-0.00032540425
-0.0410954042460994,9.18115e-05
-0.04022469233755,0.00044871666
-0.0407721043091298,0.0013472753
-0.0586842590494907,0.00093077763
-0.0207804351693319,-0.00036269068
-0.0005805058434978,-0.0013004817
-0.0026486049428273,-0.0008256958
-0.019253926218988,-0.0013736301
-0.0047796550082214,0.00089826237
-0.0510210250207099,0.0016725453
-0.0266458369733791,-0.004235188
-0.0116515698481572,-0.0024039494
0.0055011633995832,-0.0032853575
0.0083352714544921,-0.0030517755
0.0274170453964204,-0.0005672617
0.0402722366842081,0.0012153079
0.0156066694697997,0.0011664828
0.0273801691220291,-0.0010938878
0.0281091695216735,0.0003117815
0.0271497720356476,-0.0023301116
0.0115831410896308,-0.0023757832
0.013930573535947,3.4840632e-05
-0.0059002122047703,0.0018598199
0.0138229083688208,0.0029527296
0.0258505527740886,0.0022068059
0.0260481374380116,0.0023395035
0.0243741361322934,0.0034995407
0.0313788520984577,0.0052247285
0.0120279648543579,0.0052024415
0.0113348764032343,0.0052585006
0.0027148746427327,0.0055950386
-0.017184806051588,0.0056995163
-0.0146160074820972,0.0021128876
-0.0201078567205607,0.0014202212
-0.0411246304817697,0.0018916157
-0.0480211619119152,0.0030531406
-0.0104224825787556,0.0035501912
-0.0029728305383097,0.0015672863
